Epoch,Day,Being ID,Other Being ID,encounter_type,X,Y,Z
1,9,6,64,STL,"(92,)","(483,)",0.2659005482726414
1,10,64,64,INF,"(93,)","(484,)",0.2680255295044064
2,1,126,190,LUV,"(345,)","(66,)",0.1668145850713846
2,2,127,178,LUV,"(37,)","(477,)",0.12824366722003064
2,3,127,195,LUV,"(35,)","(476,)",0.12238965935040416
2,3,190,126,LUV,"(344,)","(68,)",0.17163127398056968
2,6,129,127,STL,"(32,)","(480,)",0.1191576893469491
2,6,190,126,LUV,"(346,)","(69,)",0.1678843406234569
2,7,127,129,INF,"(33,)","(479,)",0.12051058135086745
2,7,190,126,LUV,"(347,)","(70,)",0.16662209360038907
2,8,126,190,LUV,"(347,)","(71,)",0.16786438414553895
2,8,190,126,LUV,"(348,)","(70,)",0.16413247057524066
2,8,195,178,LUV,"(37,)","(476,)",0.12730513895343684
2,9,126,190,LUV,"(348,)","(70,)",0.16413247057524066
2,9,190,126,LUV,"(349,)","(70,)",0.16163910313061902
3,10,248,223,INF,"(434,)","(93,)",-0.012877721400862754
5,4,452,456,STL,"(246,)","(436,)",0.3806626097479728
5,4,456,452,INF,"(245,)","(435,)",0.3853920847743695
5,11,458,490,WAR,"(445,)","(67,)",-0.06903375495551851
5,12,484,487,WIN,"(260,)","(266,)",0.6231097337119396
7,1,701,641,WAR,"(211,)","(267,)",0.6553748265592683
7,6,715,701,WAR,"(212,)","(263,)",0.6571627981808604
7,11,636,725,LUV,"(143,)","(338,)",0.4757236488551218
7,11,725,636,LUV,"(144,)","(339,)",0.4776172679255825
7,12,636,725,LUV,"(144,)","(339,)",0.4776172679255825
7,12,725,636,LUV,"(143,)","(339,)",0.4747584179482426
8,3,807,775,LUV,"(204,)","(279,)",0.6454488562988353
8,4,775,807,LUV,"(204,)","(279,)",0.6454488562988353
8,6,807,775,LUV,"(205,)","(279,)",0.6460745136474285
9,1,881,922,LUV,"(346,)","(289,)",0.38450591924676714
9,2,922,881,LUV,"(348,)","(287,)",0.3812694795083336
9,3,881,922,WAR,"(347,)","(286,)",0.38537152703357
9,12,872,932,INF,"(388,)","(138,)",0.1790642220482841
10,1,980,1044,LUV,"(31,)","(266,)",0.20632154452405393
10,4,953,996,WAR,"(478,)","(423,)",-0.1959605449432598
10,6,996,953,INF,"(479,)","(423,)",-0.19647431135278845
10,8,983,993,LUV,"(64,)","(13,)",0.05819556665426736
10,8,993,983,LUV,"(64,)","(13,)",0.05819556665426736
10,8,1043,1001,STL,"(402,)","(75,)",0.03462622297831249
10,9,983,993,LUV,"(65,)","(14,)",0.06165047395364144
10,9,993,983,LUV,"(65,)","(14,)",0.06165047395364144
11,3,1097,1067,STL,"(403,)","(184,)",0.22217678432325066
11,3,1141,1114,LUV,"(376,)","(409,)",0.03915984837102472
11,10,1120,1080,LUV,"(101,)","(397,)",0.30585313158693184
11,11,1120,1080,LUV,"(100,)","(396,)",0.3027994934257384
11,12,1099,1135,LUV,"(41,)","(245,)",0.26191446223904147
11,12,1135,1099,LUV,"(42,)","(245,)",0.26422693067688197
11,13,1099,1135,LUV,"(42,)","(246,)",0.2628300595173343
11,13,1135,1099,LUV,"(43,)","(246,)",0.26517357489452054
